timestamp,sender,message
2026-05-01 09:30,A,早
2026-05-01 09:31,B,早呀
2026-05-01 12:15,A,你吃饭了吗
2026-05-01 12:16,B,刚吃完
2026-05-01 19:40,A,今天有点忙
2026-05-01 19:42,B,辛苦了
2026-05-01 21:10,A,我等会去图书馆
2026-05-01 21:11,B,好
2026-05-02 10:05,A,昨晚梦到你了
2026-05-02 10:06,B,真的假的哈哈哈哈
2026-05-02 10:08,A,真的啊宝宝
2026-05-02 10:09,B,你叫我什么
2026-05-02 10:10,A,叫你宝宝怎么了
2026-05-02 10:11,B,讨厌啦
2026-05-02 14:30,A,想你了
2026-05-02 14:31,B,我也想你
2026-05-02 22:00,A,晚安宝贝照顾好自己
2026-05-02 22:01,B,晚安
2026-05-03 09:00,A,早安
2026-05-03 11:20,B,嗯
2026-05-03 13:45,A,你今天怎么了
2026-05-03 13:50,B,没事
2026-05-03 16:10,A,在干嘛
2026-05-03 16:20,B,哦
2026-05-03 19:30,A,你是不是不想理我
2026-05-03 19:45,B,随便
2026-05-03 22:00,A,那你早点休息
2026-05-03 22:30,B,嗯
2026-05-04 10:00,A,昨天那个跟你讲话的男生是谁
2026-05-04 10:02,B,同学
2026-05-04 10:05,A,你跟谁出去吃饭了
2026-05-04 10:07,B,你怎么知道
2026-05-04 10:08,A,我看你朋友圈了
2026-05-04 10:09,B,你是不是吃醋了
2026-05-04 10:10,A,才没有
2026-05-04 10:11,B,哈哈哈哈承认吧
2026-05-04 20:15,A,你跟他到底什么关系
2026-05-04 20:16,B,普通同学啦别多想
2026-05-05 09:00,A,昨天聊得不太好
2026-05-05 09:02,B,你昨天问那么多烦不烦
2026-05-05 09:04,A,我只是关心你
2026-05-05 09:05,B,算了
2026-05-05 09:06,A,你怎么这样
2026-05-05 09:07,B,无语
2026-05-05 11:30,A,对不起 是我不好
2026-05-05 11:35,B,...
2026-05-05 12:00,A,我不该追问的
2026-05-05 12:02,B,嗯
2026-05-05 18:20,A,别生气好吗
2026-05-05 18:30,B,没生气
2026-05-05 21:00,A,那笑一个
2026-05-05 21:01,B,哈哈哈哈
2026-05-06 10:30,A,你会不会喜欢我这种人
2026-05-06 10:35,B,什么意思
2026-05-06 10:36,A,随便问问
2026-05-06 14:00,A,你想不想见我
2026-05-06 14:05,B,你说呢
2026-05-06 19:30,A,我要是说我喜欢你呢
2026-05-06 19:35,B,你喝酒了吗
2026-05-06 19:36,A,没有 认真的
2026-05-06 19:50,B,先不说这个
2026-05-06 22:10,A,好吧晚安
2026-05-06 22:11,B,晚安
2026-05-07 09:00,A,早
2026-05-07 09:10,B,早呀宝
2026-05-07 09:11,A,你刚刚叫我什么
2026-05-07 09:12,B,叫你宝怎么了
2026-05-07 12:00,A,那中午一起吃饭吗
2026-05-07 12:02,B,出来玩 好啊
2026-05-07 17:30,A,今天好开心
2026-05-07 17:31,B,我也是 想你
2026-05-07 22:00,A,喜欢你
2026-05-07 22:05,B,我也喜欢你
